basemap	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/carto%3Abasemap@EPSG%3A900913@jpeg/{z}/{x}/{y}.jpg	0	8	21
label	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/carto%3Alabel@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
label-lt	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/carto%3Alabel-lt@EPSG%3A900913@png8	0	8	21
2022	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A2022@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
2020	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A2020@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
2018	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A2018@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
2016	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A2016@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
2014	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A2014@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
2012	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A2012@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
2010	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A2010@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
2008	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A2008@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
2006	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A2006@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
2004	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A2004@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
2001-2	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A2001-2@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
1996	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A1996@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
1951	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A1951@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
1924	NYCTMS	https://finder.nyc.gov/geoserver/gwc/service/tms/1.0.0/photo%3A1924@EPSG%3A900913@png8/{z}/{x}/{y}.png8	0	8	21
